Date,Open,High,Low,Close,Adj Close,Volume
2019-01-09,22.625000,22.750000,22.218800,22.388800,21.924742,6199200
2019-01-10,22.376200,22.637501,22.225000,22.606300,22.137737,6108000
2019-01-11,22.625000,22.692499,22.188700,22.200001,21.739859,9370400
2019-01-14,22.238800,22.461300,22.000000,22.375000,21.911232,8532000
2019-01-15,22.500000,22.612499,21.947500,22.121300,21.662788,8225600
2019-01-16,22.137501,22.250000,21.647499,21.875000,21.421595,8863200
2019-01-17,21.756300,22.027500,21.593800,21.809999,21.357941,7181600
2019-01-18,21.937500,22.106300,21.687500,21.775000,21.323666,5624000
2019-01-21,21.748800,21.777500,20.875000,20.875000,20.442322,10003200
2019-01-22,20.393700,20.868700,20.081200,20.256300,19.836445,16261600
2019-01-23,20.498800,21.270000,20.351200,21.200001,20.760584,9562400
2019-01-24,21.315001,21.412500,20.643700,20.934999,20.501076,9061600
2019-01-28,20.748800,21.062500,20.501200,20.922501,20.488836,6263200
2019-01-29,21.012501,22.462500,21.001200,22.262501,21.801064,12793600
2019-01-30,22.500000,22.750000,21.641300,22.018700,21.562315,10992800
2019-01-31,22.187500,22.622499,21.709999,22.383801,21.919847,7646400
2019-02-01,22.375000,22.559999,22.014999,22.350000,21.886747,5166400
2019-02-04,22.187500,22.268700,21.813700,22.133801,21.675030,4340800
2019-02-05,22.111200,22.170000,21.850000,21.937500,21.482798,3613600
2019-02-06,21.809999,21.812500,21.062500,21.212500,20.772825,6461600
2019-02-07,21.326300,21.924999,20.850000,20.850000,20.417839,9416000
2019-02-08,21.000000,21.250000,20.570000,21.250000,20.809547,5506400
2019-02-11,21.245001,21.247499,20.563700,20.666300,20.237946,5428800
2019-02-12,20.876200,21.023800,20.412500,20.600000,20.173021,8156800
2019-02-13,20.696301,20.750000,19.776300,20.162500,19.744589,9616000
2019-02-14,20.312500,21.373800,20.002501,21.336300,20.894058,8436000
2019-02-15,21.187500,21.248800,20.496300,20.496300,20.071470,7860000
2019-02-18,20.485001,21.067499,20.312500,21.067499,20.630831,3745600
2019-02-19,21.000000,21.497499,20.951300,21.207500,20.767929,7568000
2019-02-20,21.485001,21.485001,20.281200,20.312500,19.891479,12089600
2019-02-21,20.516300,20.562500,19.946301,20.137501,19.720108,10159200
2019-02-22,21.251200,22.645000,20.741199,22.237499,21.776579,30509600
2019-02-25,22.344999,22.487499,21.712500,21.712500,21.262461,10340000
2019-02-26,21.626200,22.483700,21.400000,22.312500,21.850025,8444800
2019-02-27,22.312500,22.447500,21.851200,22.000000,21.544001,6376000
2019-02-28,21.987499,22.122499,21.258801,21.682501,21.233084,8011200
2019-03-01,21.861200,22.375000,21.651300,21.902500,21.448524,7103200
2019-03-06,null,null,null,null,null,null
2019-03-07,21.436300,22.248800,21.312500,22.143700,21.684725,9920800
2019-03-08,21.987499,22.922501,21.725000,22.602501,22.134016,13552000
2019-03-11,22.593800,22.980000,22.281200,22.821301,22.348280,9769600
2019-03-12,22.625000,22.688700,22.242500,22.356300,21.892918,5656000
2019-03-13,22.281200,22.446301,21.950001,22.160000,21.700687,5742400
2019-03-14,22.118700,22.321301,21.946301,22.062500,21.605207,3409600
